Trade History Report;;;;;;;;;;;;;;
Time;Position;Symbol;Type;Volume;Price;S / L;T / P;Time;Price;Commission;Swap;Profit;;
2024.12.03 07:37:04;51872540744;XAUUSD;sell;0.1;2 638,20;2 639,20;2 637,20;2024.12.03 07:38:23;2 639,20;0,00;0,00;- 10,00;;
2024.12.03 07:38:02;51872543079;XAUUSD;sell;0.1;2 638,38;2 639,38;2 637,38;2024.12.03 07:38:26;2 639,38;0,00;0,00;- 10,00;;
2024.12.03 07:38:34;51872545544;XAUUSD;buy;0.1;2 639,44;2 638,44;2 640,44;2024.12.03 07:42:14;2 640,44;0,00;0,00; 10,00;;
2024.12.03 07:39:07;51872547622;XAUUSD;buy;0.1;2 639,76;2 638,76;2 640,76;2024.12.03 07:48:45;2 640,76;0,00;0,00; 10,00;;
2024.12.03 07:39:32;51872549657;XAUUSD;sell;0.1;2 639,73;2 640,73;2 638,73;2024.12.03 07:48:38;2 640,73;0,00;0,00;- 10,00;;
2024.12.03 07:39:40;51872549921;XAUUSD;buy;0.1;2 639,99;2 638,99;2 640,99;2024.12.03 07:45:22;2 638,99;0,00;0,00;- 10,00;;
2024.12.03 07:40:12;51872552527;XAUUSD;sell;0.1;2 639,85;2 640,85;2 638,85;2024.12.03 07:48:41;2 640,85;0,00;0,00;- 10,00;;
2024.12.03 07:40:44;51872554268;XAUUSD;sell;0.1;2 639,83;2 640,83;2 638,83;2024.12.03 07:48:41;2 640,83;0,00;0,00;- 10,00;;
2024.12.03 07:41:09;51872555675;XAUUSD;buy;0.1;2 640,18;2 639,18;2 641,18;2024.12.03 07:45:20;2 639,18;0,00;0,00;- 10,00;;
2024.12.03 07:41:17;51872556419;XAUUSD;buy;0.1;2 640,44;2 639,44;2 641,44;2024.12.03 07:44:27;2 639,44;0,00;0,00;- 10,00;;
2024.12.03 07:43:10;51872563459;XAUUSD;sell;0.1;2 639,99;2 640,99;2 638,99;2024.12.03 07:48:45;2 640,99;0,00;0,00;- 10,00;;
2024.12.03 07:43:42;51872564756;XAUUSD;buy;0.1;2 640,39;2 639,39;2 641,39;2024.12.03 07:44:27;2 639,39;0,00;0,00;- 10,00;;
2024.12.03 07:43:50;51872565193;XAUUSD;sell;0.1;2 640,30;2 641,30;2 639,30;2024.12.03 07:45:20;2 639,30;0,00;0,00; 10,00;;
2024.12.03 07:44:07;51872566108;XAUUSD;sell;0.1;2 640,00;2 641,00;2 639,00;2024.12.03 07:48:45;2 641,00;0,00;0,00;- 10,00;;
2024.12.03 07:44:15;51872566717;XAUUSD;sell;0.1;2 639,78;2 640,78;2 638,78;2024.12.03 07:48:41;2 640,78;0,00;0,00;- 10,00;;
2024.12.03 07:44:23;51872567375;XAUUSD;sell;0.1;2 639,50;2 640,50;2 638,50;2024.12.03 07:47:44;2 640,50;0,00;0,00;- 10,00;;
2024.12.03 07:44:31;51872567849;XAUUSD;sell;0.1;2 639,44;2 640,44;2 638,44;2024.12.03 07:47:19;2 640,44;0,00;0,00;- 10,00;;
2024.12.03 07:44:40;51872568310;XAUUSD;buy;0.1;2 639,73;2 638,73;2 640,73;2024.12.03 07:48:41;2 640,73;0,00;0,00; 10,00;;
2024.12.03 07:45:20;51872570005;XAUUSD;sell;0.1;2 639,36;2 640,36;2 638,36;2024.12.03 07:47:17;2 640,36;0,00;0,00;- 10,00;;
2024.12.03 07:45:28;51872570523;XAUUSD;sell;0.1;2 639,29;2 640,29;2 638,29;2024.12.03 07:47:15;2 640,29;0,00;0,00;- 10,00;;
2024.12.03 07:46:17;51872573106;XAUUSD;sell;0.1;2 639,31;2 640,31;2 638,31;2024.12.03 07:47:16;2 640,31;0,00;0,00;- 10,00;;
2024.12.03 07:46:50;51872574031;XAUUSD;buy;0.1;2 639,91;2 638,91;2 640,91;2024.12.03 07:49:00;2 640,91;0,00;0,00; 10,00;;
2024.12.03 07:47:23;51872575563;XAUUSD;buy;0.1;2 640,35;2 639,35;2 641,35;2024.12.03 07:54:07;2 641,35;0,00;0,00; 10,00;;
